Date,Open,High,Low,Close,Volume,Adj Close
2014-07-02,182.199997,182.199997,182.199997,182.199997,000,176.596189
2014-07-01,182.070007,182.070007,182.070007,182.070007,000,176.470198
2014-06-30,180.830002,180.830002,180.830002,180.830002,000,175.26833
2014-06-27,180.889999,180.889999,180.889999,180.889999,000,175.326482
2014-06-26,180.529999,180.529999,180.529999,180.529999,000,174.977554
2014-06-25,180.720001,180.720001,180.720001,180.720001,000,175.161713
2014-06-24,179.830002,179.830002,179.830002,179.830002,000,174.299087
2014-06-23,180.979996,180.979996,180.979996,180.979996,000,175.413711
2014-06-20,181.009995,181.009995,181.009995,181.009995,000,175.442787
2014-06-19,181.50,181.50,181.50,181.50,000,175.127784
2014-06-18,181.25,181.25,181.25,181.25,000,174.886562
2014-06-17,179.860001,179.860001,179.860001,179.860001,000,173.545363
2014-06-16,179.470001,179.470001,179.470001,179.470001,000,173.169056
2014-06-13,179.320007,179.320007,179.320007,179.320007,000,173.024328
2014-06-12,178.75,178.75,178.75,178.75,000,172.474333
2014-06-11,179.979996,179.979996,179.979996,179.979996,000,173.661145
2014-06-10,180.600006,180.600006,180.600006,180.600006,000,174.259388
2014-06-09,180.639999,180.639999,180.639999,180.639999,000,174.297977
2014-06-06,180.460007,180.460007,180.460007,180.460007,000,174.124304
2014-06-05,179.610001,179.610001,179.610001,179.610001,000,173.30414
2014-06-04,178.429993,178.429993,178.429993,178.429993,000,172.165561
2014-06-03,178.059998,178.059998,178.059998,178.059998,000,171.808556
2014-06-02,178.119995,178.119995,178.119995,178.119995,000,171.866447
2014-05-30,177.970001,177.970001,177.970001,177.970001,000,171.721719
2014-05-29,177.649994,177.649994,177.649994,177.649994,000,171.412947
2014-05-28,176.679993,176.679993,176.679993,176.679993,000,170.477001
2014-05-27,176.850006,176.850006,176.850006,176.850006,000,170.641045
2014-05-23,175.789993,175.789993,175.789993,175.789993,000,169.618248
2014-05-22,175.050003,175.050003,175.050003,175.050003,000,168.904238
2014-05-21,174.610001,174.610001,174.610001,174.610001,000,168.479683
2014-05-20,173.179993,173.179993,173.179993,173.179993,000,167.099881
